id,institution
506086,Oakwood
515,Oberlin
516,Occidental
506463,Oglala Lakota
2713,Oglethorpe
519,Ohio
506333,Ohio Christian
30119,Ohio Dominican
517,Ohio Northern
518,Ohio St.
506088,Ohio St. Lima
506336,Ohio St.-Mansfield
15207,Ohio Valley
520,Ohio Wesleyan
503863,Ohio-Chillicothe
503865,Ohio-Eastern
506281,Ohio-Lancaster
506233,Ohio-Zanesville
30202,Okla. Baptist
30179,Okla. Christian
506515,Okla. Panhandle
506189,Okla. Wesleyan
522,Oklahoma
503905,Oklahoma City
521,Oklahoma St.
523,Old Dominion
524,Old Westbury
433,Ole Miss
525,Olivet
506045,Olivet Nazarene
464,Omaha
527,Oral Roberts
529,Oregon
528,Oregon St.
500078,Oregon Tech
530,Oswego St.
506513,Ottawa (AZ)
506046,Ottawa (KS)
531,Otterbein
1289,Ouachita Baptist
503987,Our Lady of the Lake
503990,Ozark Christian
23008,Ozarks (AR)
504000,Ozarks (MO)
504226,P.R.-Arecibo
2682,P.R.-Bayamon
506503,P.R.-Carolina
506419,P.R.-Cayey
506420,P.R.-Humacao
24361,P.R.-Mayaguez
504231,P.R.-Ponce
2716,P.R.-Rio Piedras
533,Pace
534,Pacific
2751,Pacific (OR)
1297,Pacific Lutheran
506090,Pacific Union
535,Paine
30045,Palm Beach Atl.
506544,Park (AZ)
504050,Park (MO)
504055,Paul Quinn
506239,Paul Smiths
540,Penn
30190,Penn College
539,Penn St.
30081,Penn St. Harrisburg
30114,Penn St.-Abington
25719,Penn St.-Altoona
506277,Penn St.-Beaver
538,Penn St.-Behrend
30044,Penn St.-Berks
504077,Penn St.-Brandywine
506280,Penn St.-Du Bois
506278,Penn St.-Fayette
506297,Penn St.-Hazleton
506298,Penn St.-Lehigh Val.
506331,Penn St.-Mont Alto
506264,Penn St.-New Kens.
506302,Penn St.-Schuylkill
506324,Penn St.-Scranton
506540,Penn St.-Shenango
506326,Penn St.-York
506261,Penn St-Gr Allegheny
506332,Penn St-Wilkes Barre
506370,Penn St-Worthington
504062,Pensacola Christian
541,Pepperdine
506008,Peru St.
542,Pfeiffer
504115,Philander Smith
21830,Piedmont
504130,Piedmont Int'l
504135,Pikeville
544,Pine Manor
1315,Pitt.-Bradford
11839,Pitt.-Greensburg
546,Pitt.-Johnstown
1314,Pittsburg St.
545,Pittsburgh
547,Plattsburgh St.
548,Plymouth St.
30149,Point Loma
504175,Point Park
500270,Point U.
506464,Polytechnic (P.R.)
549,Pomona-Pitzer
551,Portland
504187,Portland Bible
550,Portland St.
1318,Post
553,Prairie View
2715,Pratt
1320,Presbyterian
504212,Presentation
554,Princeton
555,Principia
556,Providence
506169,Providence (MT)
506493,Providence Christian
506307,Providence-Manitoba
557,Puget Sound
30029,Purchase
559,Purdue
308,Purdue Fort Wayne
30222,Purdue Northwest
504260,Purdue-North Cent.
11504,Queens (NC)
560,Queens (NY)
506387,Quest (CAN)
561,Quincy
562,Quinnipiac
563,Radford
564,Ramapo
502132,Randall
566,Randolph
565,Randolph-Macon
567,Redlands
506514,Regent
506457,Regina (CAN)
568,Regis (CO)
569,Regis (MA)
506141,Reinhardt
570,Rensselaer
572,Rhode Island
571,Rhode Island Col.
573,Rhodes
574,Rice
575,Richmond
576,Rider
504350,Rio Grande
577,Ripon
580,RIT
18422,Rivier
578,Roanoke
579,Robert Morris
504364,Robert Morris (IL)
506377,Robert Morris-Peoria
506279,Robert Morris-S'fiel
30150,Roberts Wesleyan
581,Rochester (NY)
503129,Rochester College
582,Rockford
1328,Rockhurst
506025,Rocky Mountain
583,Roger Williams
30180,Rogers St.
584,Rollins
504410,Roosevelt
585,Rose-Hulman
15882,Rosemont
259,Rowan
506512,Rust
587,Rutgers
588,Rutgers-Camden
589,Rutgers-Newark
506432,Ryerson (CAN)
11276,S.C. Aiken
506353,S.C. Beaufort
102,Sacramento St.
590,Sacred Heart
504446,Sacred Heart (PR)
11036,Sage Colleges
591,Saginaw Valley
500153,SAGU American Indian
594,Saint Augustine's
595,Saint Benedict
600,Saint Francis (PA)
602,Saint John's (MN)
606,Saint Joseph's
608,Saint Leo
609,Saint Louis
1343,Saint Martin's
610,Saint Mary's (CA)
612,Saint Mary's (MN)
613,Saint Michael's
617,Saint Peter's
1347,Saint Rose
30064,Saint Vincent
506499,SAIT Poly (CAN)
30041,Salem (NC)
19117,Salem (WV)
621,Salem St.
622,Salisbury
623,Salve Regina
624,Sam Houston St.
625,Samford
627,San Diego
502122,San Diego Christian
626,San Diego St.
628,San Fran. St.
629,San Francisco
630,San Jose St.
631,Santa Clara
30163,Sarah Lawrence
506458,Saskatchewan (CAN)
632,Savannah St.
506483,SCAD Atlanta
506402,SCAD Savannah
1355,Schreiner
506082,Science & Arts Okla.
633,Scranton
634,Seattle Pacific
1356,Seattle U
635,Seton Hall
30063,Seton Hill
652,Sewanee
676,SFA
636,Shaw
504767,Shawnee St.
637,Shenandoah
10870,Shepherd
506509,Shepherd (CA)
506099,Sheridan (CAN)
638,Shippensburg
30151,Shorter
639,Siena
504800,Siena Heights
506497,Sierra Nevada
640,Simmons
506511,Simmons (KY)
30127,Simon Fraser
641,Simpson
504809,Simpson (CA)
30128,Sioux Falls
660,SIUE
642,Skidmore
643,Slippery Rock
644,Smith
663,SMU
506364,Soka
645,Sonoma St.
646,South Alabama
648,South Carolina
647,South Carolina St.
650,South Dakota
30139,South Dakota Mines
649,South Dakota St.
651,South Fla.
654,Southeast Mo. St.
506151,Southeastern (FL)
504906,Southeastern Bapt.
655,Southeastern La.
1371,Southeastern Okla.
1376,Southern Ark.
657,Southern California
658,Southern Conn. St.
659,Southern Ill.
661,Southern Ind.
662,Southern Me.
664,Southern Miss.
468,Southern N.H.
30152,Southern Nazarene
506027,Southern Ore.
665,Southern U.
667,Southern Utah
30164,Southern Va.
30192,Southern Wesleyan
504980,Southern-N.O.
506012,Southwest (NM)
2755,Southwest Baptist
8736,Southwest Minn. St.
506063,Southwestern (KS)
8746,Southwestern (TX)
506285,Southwestern Christ.
8744,Southwestern Okla.
23260,Spalding
505040,Spring Arbor
30191,Spring Hill
673,Springfield
506002,St. Ambrose
506422,St. Andrews
593,St. Anselm
596,St. Bonaventure
597,St. Catherine
598,St. Cloud St.
1334,St. Edward's
9684,St. Elizabeth
506180,St. Francis (IL)
504500,St. Francis (IN)
599,St. Francis Brooklyn
601,St. John Fisher
603,St. John's (NY)
8687,St. Joseph (CT)
504563,St. Joseph (VT)
30072,St. Joseph's (Brkln)
1340,St. Joseph's (L.I.)
605,St. Joseph's (ME)
506468,St. Katherine
607,St. Lawrence
504578,St. Louis Pharmacy
506064,St. Mary (KS)
504607,St. Mary (NE)
8688,St. Mary's (IN)
611,St. Mary's (MD)
1346,St. Mary's (TX)
504592,St. Mary-Woods
