id,drafted,hs,col
beatope01,True,"Xaverian HS (Brooklyn, NY)","St. Petersburg College (St. Petersburg, FL)"
beavabl01,True,"Irving HS (Irving, TX)",
bechlst01,True,"South HS (Medford, OR)",
beckch01,True,"Woodville HS (Woodville, TX)","University of Louisiana at Lafayette (Lafayette, LA)"
beckch02,True,"Jefferson HS (Jefferson, GA)","Georgia Southern University (Statesboro, GA)"
beckejo02,True,"Spring HS (Spring, TX)",
beckhgo01,True,"Westminster HS (Atlanta, GA)","University of Georgia (Athens, GA)"
beckhti01,True,"Griffin HS (Griffin, GA)",
bedarer01,True,"Norwalk HS (Norwalk, CT)","Norwalk Community College (Norwalk, CT)"
bedroca01,True,"East Coweta HS (Sharpsburg, GA)",
beedety01,True,"Lawrence Academy (Groton, MA)","Vanderbilt University (Nashville, TN)"
beeksja02,True,"Prairie Grove HS (Prairie Grove, AR)","University of Arkansas (Fayetteville, AR)"
beeleda01,True,"Jenks HS (Jenks, OK)","Oral Roberts University (Tulsa, OK)"
beimejo01,True,"St. Mary's HS (St. Mary's, PA)","Duquesne University (Pittsburgh, PA)"
beirnke01,True,"McCollough HS (The Woodlands, TX)","Texas A&M University (College Station, TX)"
belfimi01,True,"Commack HS (Commack, NY)","Boston College (Chestnut Hill, MA)"
belisma01,True,"McCallum HS (Austin, TX)",
belisro01,False,"Augusto Mijares (Maracay, Venezuela)",
belitto01,True,"Edison HS (Huntington Beach, CA)","Washington State University (Pullman, WA)"
belivje01,True,"Bishop Hendricken HS (Warwick, RI)","College of Charleston (Charleston, SC)"
bellaan01,True,"Steele Canyon HS (Spring Valley, CA)",
bellch02,True,"South Doyle HS (Knoxville, TN)","Walters State Community College (Morristown, TN)"
bellhe01,True,"Tustin HS (Tustin, CA)","Rancho Santiago College (Santa Ana, CA)"
bellico01,True,"Hamilton HS (Chandler, AZ)",
belljo01,True,"Santaluces Community HS (Lantana, FL)",
belljo02,True,"Dallas Jesuit College Prep (Dallas, TX)",
bellmi02,True,"Archbishop Moeller HS (Cincinnati, OH)",
belloed01,False,,
bellro01,True,"Central HS (Marlboro, NY)",
belltr01,True,"Crescenta Valley HS (La Crescenta, CA)",
belnovi01,True,"Coatesville HS (Coatesville, PA)","West Virginia University (Morgantown, WV)"
belowdu01,True,"Britton-Macon HS (Britton, MI)","Lake Michigan College (Benton Harbor, MI)"
beltbr01,True,"Hudson HS (Lufkin, TX)","San Jacinto College, North Campus (Houston, TX)"
beltren01,False,,
beltrfr01,False,"Santo Domingo (Santo Domingo, Dominican Republic)",
beltrom01,False,,
beninan01,True,"Madeira HS (Cincinnati, OH)","University of Arkansas (Fayetteville, AR)"
benneje01,True,"Gordonsville HS (Gordonsville, TN)",
benoijo01,False,"Santiago (Santiago, Dominican Republic)",
bensojo01,True,"Joliet Catholic Academy (Joliet, IL)",
bentzch01,True,"Douglas HS (Juneau, AK)","California State University Long Beach (Long Beach, CA)"
beresja01,False,"Wesley College (Melbourne, Australia)",
bergebr01,True,"Beechwood HS (Fort Mitchell, KY)","Eastern Kentucky University (Richmond, KY)"
bergebr02,True,"Foothill HS (Pleasanton, CA)",
bergju01,True,"Antigo HS (Antigo, WI)","Indian Hills Community College (Centerville, IA)"
bergmch01,True,"St. Francis HS (La Canada, CA)","University of California, Irvine (Irvine, CA)"
bergmdu01,True,"Carson HS (Carson City, NV)","University of Hawaii at Manoa (Honolulu, HI)"
bergmja01,True,"Manalapan HS (Englishtown, NJ)","Rutgers, the State University of New Jersey (New Brunswick, NJ)"
bergowi01,False,"Valencia (Valencia, Venezuela)",
berkeja01,True,"West De Pere HS (De Pere, WI)","Clemson University (Clemson, SC)"
bernaro01,False,"Voorben Praktyk (Willemstad, Curacao)",
bernead01,True,"John F. Kennedy HS (Sacramento, CA)","Culver-Stockton College (Canton, MO)"
bernido01,False,"St. Joseph HS (Santa Maria, CA)","Cuesta College (San Luis Obispo, CA)"
berrijo01,True,"Papa Juan HS (Bayamon, Puerto Rico)",
berroan01,False,"Santo Domingo (Santo Domingo, Dominican Republic)",
berryqu01,True,"Samuel F. B. Morse HS (San Diego, CA)","Grossmont College (El Cajon, CA)"
bertijo01,True,"Troy HS (Troy, MI)","Bowling Green State University (Bowling Green, OH)"
betande01,True,"Grand Street Campus HS (Brooklyn, NY)",
betanra01,False,,
betanyu01,False,,
betemwi01,False,"Santo Domingo (Santo Domingo, Dominican Republic)",
bethach01,False,,
bettich01,True,"Monterey HS (Lubbock, TX)","Texas Tech University (Lubbock, TX)"
bettsmo01,True,"Overton HS (Nashville, TN)",
beverja01,True,"Dondero HS (Royal Oak, MI)","Western Carolina University (Cullowhee, NC)"
biagijo01,True,"The King's Academy (Sunnyvale, CA)","University of California, Davis (Davis, CA)"
biancje01,True,"Lampeter HS (Lampeter, PA)",
bibenau01,True,"McNary HS (Keizer, OR)","University of Portland (Portland, OR)"
biddlje01,True,,
biddlro01,True,"Temple City HS (Temple City, CA)","California State University Long Beach (Long Beach, CA)"
biebesh01,True,"Laguna Hills HS (Laguna Hills, CA)","University of California, Santa Barbara (Santa Barbara, CA)"
bierbni01,True,"Millikan HS (Long Beach, CA)",
bierdra01,False,,
bigbila01,True,"Hobart HS (Hobart, IN)","Ball State University (Muncie, IN)"
billibr02,True,"Samuel F. B. Morse HS (San Diego, CA)","San Diego State University (San Diego, CA)"
billich01,True,"Defiance HS (Defiance, OH)",
birdgr01,True,"Grandview HS (Aurora, CO)",
birkiku01,True,"El Camino Real HS (Woodland Hills, CA)","Los Angeles Pierce College (Woodland Hills, CA)"
bisenjo01,True,"Bishop Heelan HS (Sioux City, IA)","Iowa Western Community College (Council Bluffs, IA)"
bixlebr01,True,"Perkins HS (Sandusky, OH)","Eastern Michigan University (Ypsilanti, MI)"
blachty01,True,"Regis Jesuit HS (Aurora, CO)","Creighton University (Omaha, NE)"
blackch02,True,"North Gwinnett HS (Suwanee, GA)","Georgia Institute of Technology (Atlanta, GA)"
blackni01,True,"Del City HS (Del City, OK)","Seminole State College (Seminole, OK)"
blackpa01,True,"Heritage HS (Brentwood, CA)",
blackra01,True,"James M. Coughlin HS (Wilkes-Barre, PA)","University of Pittsburgh (Pittsburgh, PA)"
blacktr01,False,"Cheltenham Secondary College (Cheltenham, Australia)",
blackvi01,True,"Amarillo HS (Amarillo, TX)","Dallas Baptist University (Dallas, TX)"
blairaa01,True,"Spring Valley HS (Las Vegas, NV)","Marshall University (Huntington, WV)"
blairca01,False,"Liberty Christian School (Argyle, TX)",Boston Red Sox
blaloha01,True,"Rancho Bernardo HS (San Diego, CA)",
blancan01,False,El Carmen (Venezuela),
blancgr01,False,"Ignacio Martin Burk HS (Valera, Venezuela)",
blancto01,False,"Haina (Haina, Dominican Republic)",
blandal01,True,"St. Francis HS (Mountain View, CA)","Stanford University (Palo Alto, CA)"
blandna01,True,"Mountain Brook HS (Mountain Brook, AL)",
blankky01,True,"Moriarty HS (Moriarty, NM)","Yavapai College (Prescott, AZ)"
blankma01,True,"James W. Martin HS (Arlington, TX)","Texas A&M University (College Station, TX)"
blantjo01,True,"Franklin-Simpson HS (Franklin, KY)","University of Kentucky (Lexington, KY)"
blashja01,True,"Charlotte Amalie HS (St. Thomas, U. S. Virgin Islands)","Miami-Dade College, Wolfson Campus (Miami, FL)"
blazemi01,True,"Arbor View HS (Las Vegas, NV)",
bleicje01,True,,"Stanford University (Palo Alto, CA)"
bleieri01,True,"South Plantation HS (Plantation, FL)","Florida Gulf Coast University (Fort Myers, FL)"
blevije01,True,"Arcadia HS (Arcadia, OH)","University of Dayton (Dayton, OH)"
bloomwi01,True,"South Kitsap HS (Port Orchard, WA)","Arizona State University (Tempe, AZ)"
bocachi01,True,"Bayamon (Bayamon, Puerto Rico)",
bochybr02,True,"Poway HS (Poway, CA)","University of Kansas (Lawrence, KS)"
bococbr01,True,"Turner-Ashby HS (Bridgewater, VA)","Stetson University (DeLand, FL)"
boescbr01,True,"Harvard-Westlake HS (Los Angeles, CA)","University of California, Berkeley (Berkeley, CA)"
bogaexa01,False,Colegio Arubano (Aruba),
boggsbr01,True,"Pope HS (Marietta, GA)","Georgia Institute of Technology (Atlanta, GA)"
boggsmi01,True,"Dalton HS (Dalton, GA)","University of Georgia (Athens, GA)"
bogusbr01,True,"De La Salle Insitute (Chicago, IL)","Tulane University (New Orleans, LA)"
bohntj01,True,"St. Louis Park HS (St. Louis Park, MN)","Hutchinson Community College (Hutchinson, KS)"
bolsimi01,True,"McKinney North HS (McKinney, TX)","University of Arkansas (Fayetteville, AR)"
bondeje01,True,"Pasco HS (Pasco, WA)",
bongju01,False,"Sin Il (Seoul, South Korea)",
bonifem01,False,"Enma Balaguer (Santo Domingo, Dominican Republic)",
bonifjo01,False,,
bonilli01,False,,
bonined01,True,"Mountain Ridge HS (Glendale, AZ)","Glendale Community College (Glendale, CA)"
bonsebo01,True,"Gibbs HS (St. Petersburg, FL)",
bookech01,True,"Monroeville HS (Monroeville, AL)",
bootcch01,True,"LaPorte HS (LaPorte, IN)","Auburn University (Auburn, AL)"
borboju01,True,"De La Salle (Santo Domingo, Dominican Republic)","University of Tennessee (Knoxville, TN)"
borchjo01,True,"Adolfo Camarillo HS (Camarillo, CA)","Stanford University (Palo Alto, CA)"
bormajo01,True,,"University of Texas at San Antonio (San Antonio, TX)"
borucry01,True,"Mundelein HS (Mundelein, IL)",
boscajc01,False,"Nuestra Senora del Fatima (Maracaibo, Venezuela)",
boscawi01,False,,
boshebu01,True,"Lee HS (Huntsville, AL)","Calhoun Community College (Decatur, AL)"
bostich01,True,"Aquinas Institute (Rochester, NY)",
boteda01,True,"Faith Christian Academy (Arvada, CO)","Neosho County Community College (Chanute, KS)"
bottsja01,True,"Paso Robles HS (Paso Robles, CA)","Glendale Community College (Glendale, CA)"
bourgja01,True,"Forest Brook HS (Houston, TX)",
bourjpe01,True,"Notre Dame Prep (Scottsdale, AZ)",
bourju01,True,"Westfield HS (Chantilly, VA)","George Mason University (Fairfax, VA)"
bournmi01,True,"Nimitz HS (Houston, TX)","University of Houston (Houston, TX)"
bowdemi01,True,"Waubonsie Valley HS (Aurora, IL)",
bowenro01,True,"Fort Wayne HS (Fort Wayne, IN)",
bowerce01,True,"Chiefland HS (Chiefland, FL)",
bowkejo01,True,"Rio Americano HS (Sacramento, CA)","California State University Long Beach (Long Beach, CA)"
bowlebr01,True,"Peninsula HS (Rolling Hills Estates, CA)","University of California, Santa Barbara (Santa Barbara, CA)"
