Xavier,XAV,,6,Norfolk St.,NORF,,5,"@Greenville, SC        ",13,2014-02-15
South Dakota St.,SDST,,0,Texas Southern,TSU,,1,"@Jackson, Miss.        ",9,2014-02-15
South Fla.,USF,,11,Richmond,RICH,,4,"@Jacksonville, Fla.        ",9,2014-02-15
Liberty,LIB,,1,South Fla.,USF,,2,"@Jacksonville, Fla.        ",9,2014-02-15
Chicago St.,CSU,,8,Southern Miss.,USM,,11,"@Lake Charles, La.        ",9,2014-02-15
Southern Miss.,USM,,2,Missouri,MIZ,,4,"@Lake Charles, La.        ",9,2014-02-15
Michigan St.,MSU,,4,Wright St.,WRST,,1,"@Nashville, TN        ",9,2014-02-15
Illinois St.,ILST,,9,Butler,BUT,,1,"@Nashville, Tenn.        ",9,2014-02-15
Grambling,GSU,,5,Southern U.,SOU,,7,"@New Orleans, LA        ",9,2014-02-15
UConn,CONN,,0,Indiana St.,INST,,3,"@Port Charlotte, Fla.        ",9,2014-02-15
Ohio St.,OSU,,1,Auburn,AUB,,0,"@Port Charlotte, Fla.        ",9,2014-02-15
Ohio St.,OSU,,3,Indiana St.,INST,,7,"@Port Charlotte, Fla.        ",9,2014-02-15
Michigan,UM,,8,Air Force,AFA,,2,"@San Marcos, Texas        ",9,2014-02-15
Nevada,NEV,,3,Boston College,BC,,7,"@Santa Clara, Calif.        ",9,2014-02-15
George Mason,GMU,,14,Morehead St.,MRST,,4,"@Spartanburg, S.C.        ",9,2014-02-15
Nebraska,NEB,,7,Gonzaga,GU,,4,"@Tempe, Ariz.        ",9,2014-02-15
Nebraska,NEB,,7,Oregon St.,ORST,,15,"@Tempe, Ariz.        ",9,2014-02-15
Gonzaga,GU,,5,Pacific,PAC,,9,"@Tempe, Ariz.        ",9,2014-02-15
Georgetown,GTWN,,1,Marshall,MRSH,,5,"@WF Baseball Park,         ",9,2014-02-15
Virginia,UVA,,12,VMI,VMI,,0,"@Wilmington, N.C.        ",9,2014-02-15
Santa Clara,SCU,,1,Boston College,BC,,4,,9,2014-02-15
Jacksonville St.,JVST,,5,Northwestern St.,NWST,,4,,9,2014-02-15
Mercer,MER,,5,High Point,HPU,,2,,9,2014-02-15
UNLV,UNLV,,5,Central Mich.,CMU,,2,,9,2014-02-15
Georgia,UGA,,3,Ga. Southern,GASO,,9,,9,2014-02-15
Arkansas St.,ARST,,3,Miami (OH),MU,,0,,9,2014-02-15
Kennesaw St.,KENN,,10,Middle Tenn.,MTU,,11,,9,2014-02-15
FIU,FIU,,13,Rutgers,RUT,,1,,9,2014-02-15
Duke,DUKE,,7,Binghamton,BING,,3,,9,2014-02-15
UTRGV,UTRG,,4,A&M-Corpus Christi,AMCC,,6,,9,2014-02-15
Tulane,TUL,,3,Ark.-Pine Bluff,ARPB,,1,,9,2014-02-15
UC Davis,UCD,,4,Seattle U,SEA,,3,,9,2014-02-15
FGCU,FGCU,,7,Rhode Island,URI,,1,,9,2014-02-15
